Comparation set,Ranking Popularity,City,Identity,Category,Primary tags,Name provider,Id,URL,Secondary tags,Cancellation,Availability,Language
18,13,1,St. Peters Basilica,8,skip; tour,Getyourguide,24244,https://www.getyourguide.com/rome-l33/skip-the-line-saint-peter-s-basilica-guided-tour-t24244/,instant; mobile ,,,
18,13,1,St. Peters Basilica,8,skip; tour,CityDiscovery,12300,http://www.city-discovery.com/trackingAffiliate.php?tour=12300&affiliateID=4880LOCAL,instant; mobile ,,,
19,19,1,St. Peters Basilica; St. Peters Dome,14,skip; tour; audioguide,Viator,5660CUPOLA,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-St-Peters-Basilica-Walking-Tour-Including-views-from-the-Top-of-the-Cupola/d511-5660CUPOLA,instant; mobile ,,,
20,21,1,St. Peters Basilica; St. Peters Dome,8,skip; audioguide,Tiqets,974564,https://www.tiqets.com/en/rome-c71631/st-peters-basilica-dome-vip-experience-p974564?q=st.%20peters&city_id=71631&force_search=0,instant; mobile ,,,
21,15,1,Hoponbus,15,ticket; audioguide,Viator,6980ROME,http://www.partner.viator.com/en/23271/tours/Rome/Rome-Hop-On-Hop-Off-Sightseeing-Tour/d511-6980ROME,instant; mobile ,,,
21,15,1,Hoponbus,15,ticket; audioguide,Getyourguide,66064,https://www.getyourguide.com/rome-l33/rome-24-hour-hop-on-hop-off-bus-tour-t66064/,instant; mobile ,,,
21,15,1,Hoponbus,15,ticket; audioguide,CityDiscovery,9759,http://www.city-discovery.com/trackingAffiliate.php?tour=9759&affiliateID=4880LOCAL,instant; mobile ,,,
21,15,1,Hoponbus,15,ticket; audioguide,Tiqets,974339,https://www.tiqets.com/en/rome-c71631/hop-on-hop-off-bus-rome-p974339,instant; mobile ,,,
21,15,1,Hoponbus,15,ticket; audioguide,Ceetiz,,https://www.ceetiz.com/rome/rome-bus-tour-with-multiple-stops-24-hour-transport-pass,instant; mobile ,,,
21,15,1,Hoponbus,15,ticket; audioguide,Expedia,,"https://www.expedia.ie/things-to-do/hop-on-hop-off-rome-panoramic-bus-tour.a247607.activity-details?srp=true&location=Rome,%20Italy&latLong=41.903755,12.479556",instant; mobile ,,,
22,16,1,Pompeii; fromrome;,11, skip; ticket,Tiqets,974444,https://www.tiqets.com/en/rome-c71631/pompeii-skip-the-line-bus-roundtrip-p974444?q=Pompeii&city_id=71631&force_search=0,instant; mobile ,,,
23,22,1,Pompeii; Vesuvius;  fromrome;,11,skip; ticket; tour,Getyourguide,10453,https://www.getyourguide.com/rome-l33/pompeii-and-vesuvius-volcano-full-day-trip-from-rome-t10453/,instant; mobile ,,,
23,22,1,Pompeii; Vesuvius;  fromrome;,11,skip; ticket; tour,Viator,3731VESUVIUS,http://www.partner.viator.com/en/23271/tours/Rome/Pompeii-Day-Trip-from-Rome/d511-3731VESUVIUS,instant; mobile ,,,
23,22,1,Pompeii; Vesuvius;  fromrome;,11,skip; ticket; tour,CityDiscovery,7043,http://www.city-discovery.com/trackingAffiliate.php?tour=7043&affiliateID=4880LOCAL,instant; mobile ,,,
24,24,1,Colosseum; Vaticanmuseums; St. Peter's Basilica; Sistine Chapel,14; 15,skip; ticket; tour,Headout,6798,https://www.headout.com/tour/6798/italy/rome/priority-access-7-hour-guided-tour-of-the-vatican-ancient-rome,instant; mobile ,,,
24,24,1,Colosseum; Vaticanmuseums; St. Peter's Basilica; Sistine Chapel,14; 15,skip; ticket; tour,Viator,3731SSVAC,https://www.viator.com/tours/Rome/Rome-Combo-Skip-the-Line-Vatican-Museums-Sistine-Chapel-St-Peters-Basilica-and-Colosseum-Walking-Tour/d511-3731SSVAC,instant; mobile ,,,
24,24,1,Colosseum; Vaticanmuseums; St. Peter's Basilica; Sistine Chapel,14; 15,skip; ticket; tour,Headout,3241,https://www.headout.com/tour/3241/italy/rome/guided-tour-of-colosseum-vatican-museum-sistine-chapel-with-priority-access,instant; mobile ,,,
24,24,1,Colosseum; Vaticanmuseums; St. Peter's Basilica; Sistine Chapel,14; 15,skip; ticket; tour,Getyourguide,18426,https://www.getyourguide.com/rome-l33/skip-the-line-vatican-ancient-rome-combined-tour-t18426/,instant; mobile ,,,
25,25,1,pompeii; amalficoast; positano; fromrome,11,skip; ticket; tour; ,Musement,1208e5f9-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/us/rome/pompeii-and-amalfi-coast-day-trip-from-rome-4395/,instant; mobile ,,,
25,25,1,pompeii; amalficoast; positano; fromrome,11,skip; ticket; tour; ,Viator,15693P17,https://www.viator.com/tours/Rome/Small-Group-Pompeii-with-Amalfi-Coast-Drive-and-Positano-Stop-from-Rome/d511-15693P17,instant; mobile ,,,
25,25,1,pompeii; amalficoast; positano; fromrome,11,skip; ticket; tour; ,Viator,5034POSITANOAMALFI,https://www.viator.com/tours/Rome/Amalfi-Coast-Small-Group-Day-Trip-from-Rome-Including-Positano/d511-5034POSITANOAMALFI,instant; mobile ,,,
